[0x00004fe8] | UI.GLIO              | INFO  | 2023-05-17 09:46:12,454 | MainPlayer: OpenGL I/O setup done.
[0x000076bc] | UI.GLContext         | INFO  | 2023-05-17 09:46:12,455 | Creating shared OpenGL context for this thread (3 total).
[0x000076bc] | UI.GLIO              | INFO  | 2023-05-17 09:46:12,505 | Initialized AuxPlayer OpenGL I/O on CUDA device 'NVIDIA GeForce RTX 2060 SUPER'
[0x00004fe8] | UI.GLIO              | INFO  | 2023-05-17 09:46:12,505 | AuxPlayer: OpenGL I/O setup done.
[0x00008190] | UI.GLContext         | INFO  | 2023-05-17 09:46:12,506 | Creating shared OpenGL context for this thread (4 total).
[0x00008190] | UI.Scopes            | INFO  | 2023-05-17 09:46:12,565 | Initialized GPU Scopes Manager on CUDA device 'NVIDIA GeForce RTX 2060 SUPER'
[0x00004fe8] | UI.MenuBar           | WARN  | 2023-05-17 09:46:12,649 | Main menu action [workspaceLayoutFusion_sub001Default]'s slot is not defined: workspaceLayoutFusion_sub001Default_triggered()
[0x00004fe8] | UI.MenuBar           | WARN  | 2023-05-17 09:46:12,649 | Main menu action [workspaceWIPlugins_placeholder]'s slot is not defined: workspaceWIPlugins_placeholder_triggered()
[0x00006e14] | SyManager            | WARN  | 2023-05-17 09:46:12,656 | socket failed to connect to server, error: 10061

[0x00006e14] | SyManager            | ERROR | 2023-05-17 09:46:12,656 | DRIVER: panel connection failed
[0x00004fe8] | FusionUtils          | WARN  | 2023-05-17 09:46:12,657 | Fusion DoAction ACTION_SET_FUSION_HOTKEY ignored, init not completed
[0x000052e4] | BtCommon             | INFO  | 2023-05-17 09:46:12,661 | Starting Daemon: C:/Program Files/Blackmagic Design/DaVinci Resolve/DaVinciPanelDaemon.exe
[0x00004fe8] | Main                 | INFO  | 2023-05-17 09:46:12,686 | Show splash screen message: Loading Project Settings
[0x00006e14] | SyManager            | INFO  | 2023-05-17 09:46:12,757 | Connection to the panel server has been re-established
[0x00004fe8] | UI                   | WARN  | 2023-05-17 09:46:12,899 | Failed to find value '0' in combo-box
[0x00004fe8] | Main                 | INFO  | 2023-05-17 09:46:19,055 | Show splash screen message: Loading Media Page
[0x00004fe8] | UI.ActionManager     | WARN  | 2023-05-17 09:46:19,145 | Action [fairlightBusStructure] is not a global action
[0x00004fe8] | UI.ActionManager     | WARN  | 2023-05-17 09:46:19,145 | Action [fairlightBusStructure] is not a valid global action
[0x00004fe8] | UI.FairlightInterface | WARN  | 2023-05-17 09:46:19,269 | SetActionEnabled: Failed to find action [viewTimelineScrollingFixed]'s action connector for handler Id [1]
[0x00004fe8] | Main                 | INFO  | 2023-05-17 09:46:19,424 | Show splash screen message: Loading Cut Page
[0x00004fe8] | Main                 | INFO  | 2023-05-17 09:46:19,698 | Show splash screen message: Loading Edit Page
[0x00004fe8] | Main                 | INFO  | 2023-05-17 09:46:19,951 | Show splash screen message: Loading Fusion Page
[0x00004fe8] | Main                 | INFO  | 2023-05-17 09:46:20,038 | Show splash screen message: Loading Fairlight Page
[0x00004fe8] | Main                 | INFO  | 2023-05-17 09:46:20,227 | Show splash screen message: Loading Color Page
[0x00004fe8] | UI                   | INFO  | 2023-05-17 09:46:20,296 | Not creating special GL widget for screen 0
[0x00004fe8] | UI                   | WARN  | 2023-05-17 09:46:21,003 | Failed to find value '8192' in combo-box
[0x00004fe8] | UI                   | WARN  | 2023-05-17 09:46:21,284 | Failed to find value '100' in combo-box
[0x00004fe8] | Main                 | INFO  | 2023-05-17 09:46:22,006 | Show splash screen message: Loading Waveform Monitor
[0x00004fe8] | Main                 | INFO  | 2023-05-17 09:46:22,433 | Show splash screen message: Loading Audio Plugins
[0x00004fe8] | SyManager            | INFO  | 2023-05-17 09:46:22,528 | Collaboration IP 127.0.0.1 Port 0
[0x00004fe8] | Main                 | INFO  | 2023-05-17 09:46:22,674 | Show splash screen message: Loading Projects
[0x00004fe8] | SyManager.Signals    | INFO  | 2023-05-17 09:46:22,739 | Current user pointer is changed
[0x00004fe8] | UI                   | WARN  | 2023-05-17 09:46:22,755 | UI Persistence - SecondaryScreenIdx not read
[0x00004fe8] | UI                   | WARN  | 2023-05-17 09:46:22,755 | UI Persistence - UseDisplayNameForClips not read
[0x00004fe8] | UI                   | WARN  | 2023-05-17 09:46:22,755 | UI Persistence - DefaultTransitionKey not read
[0x00004fe8] | UI                   | WARN  | 2023-05-17 09:46:22,755 | UI Persistence - DefaultAudioTransitionKey not read
[0x00004fe8] | IO                   | INFO  | 2023-05-17 09:46:22,767 | RED rocket decode has been disabled in the config file
[0x00004fe8] | LeManager            | ERROR | 2023-05-17 09:46:22,820 | 444, 139, 0
[0x00004fe8] | SyManager.DeckLink   | ERROR | 2023-05-17 09:46:22,922 | Failed to create instance.
[0x00004fe8] | SyManager            | INFO  | 2023-05-17 09:46:22,973 | Search Parameter (-2) or Search Operation (0) not supported, and hence disabling the condition.
[0x00004fe8] | SyManager            | INFO  | 2023-05-17 09:46:22,973 | Search Parameter (-1) or Search Operation (-1) not supported, and hence disabling the condition.
[0x00004fe8] | UI                   | WARN  | 2023-05-17 09:46:23,077 | Failed to find value '0' in combo-box
[0x00004fe8] | UI                   | WARN  | 2023-05-17 09:46:23,080 | Failed to find value '0' in combo-box
[0x00004fe8] | UI                   | WARN  | 2023-05-17 09:46:23,098 | Failed to find value '0' in combo-box
[0x00004fe8] | UI                   | WARN  | 2023-05-17 09:46:23,099 | Failed to find value '4' in combo-box
[0x00004fe8] | SyManager.Gallery    | INFO  | 2023-05-17 09:46:23,119 | Start purging still caches
[0x00004fe8] | SyManager.Gallery    | INFO  | 2023-05-17 09:46:23,119 | Finish purging still caches
[0x00004fe8] | SyManager.Signals    | INFO  | 2023-05-17 09:46:23,149 | Media pool relink status changed to 0
[0x00004fe8] | FusionUtils          | WARN  | 2023-05-17 09:46:23,167 | Fusion DoAction ACTION_SET_FUSION_HOTKEY ignored, init not completed
[0x00004fe8] | UI                   | INFO  | 2023-05-17 09:46:23,179 | Launching project manager
[0x00004fe8] | SyManager.Signals    | INFO  | 2023-05-17 09:46:23,182 | Main view page is changed to 12
[0x00004fe8] | Main                 | INFO  | 2023-05-17 09:46:23,209 | Show splash screen message: Ready
[0x00004fe8] | UI                   | INFO  | 2023-05-17 09:46:23,214 | Gallery pointer is changed, refreshing color gallery
